document_id,title,filename,local_path,pdf_url,source_website,source_page,department,connector,category,classified_category,document_type,language,date,gr_date,download_date,unique_code,size,page_count,version,year,sha256,status,tags,connector_folder,classification_confidence,classification_reason,matched_keywords,schema_version
gr_202607141155189605_20260714130833,"निवृत्तीवेतनासाठी बँकेत संयुक्त बचत खाते उघडल्यानंतर निवृत्तीवेतनधारकांनी अधिदान व लेखा अधिकारी, मुंबई / कोषागार कार्यालयास भरून द्यावयाचे शपथपत्र मुद्रांक पेपरऐवजी साध्या पेपरवर घेणेबाबत.",202607141155189605_नवततवतनसठ_बकत_सयकत_बचत_खत_उघडलयनतर_नवततव.pdf,dataset/Government_Resolutions/202607141155189605_नवततवतनसठ_बकत_सयकत_बचत_खत_उघडलयनतर_नवततव.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607141155189605.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,वित्त विभाग,GR Portal,Government Resolution,Government_Resolutions,Government Resolution,Marathi,14-07-2026,14-07-2026,2026-07-14 13:08:33,202607141155189605,314031,,,2026,fa50e828abe2c812ffe94c8dc83318d6802a77e3be3647cd7147a4d2b2705da3,Downloaded,,Government_Resolutions,,,,1.1
gr_202607141252355612_20260714130835,"सन 202६-2७ अर्थसंकल्पीय अनुदान मागणी क्र. जे-5, 7610- शासकीय   कर्मचारी                        इत्यादींना   कर्ज  -  (201)(00)(01)  घर बांधणी  अग्रिम वाटप.",202607141252355612_सन_202६-2७_अरथसकलपय_अनदन_मगण_कर_ज-5_7610.pdf,dataset/Government_Resolutions/202607141252355612_सन_202६-2७_अरथसकलपय_अनदन_मगण_कर_ज-5_7610.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607141252355612.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,विधी व न्याय विभाग,GR Portal,Government Resolution,Government_Resolutions,Government Resolution,Marathi,14-07-2026,14-07-2026,2026-07-14 13:08:35,202607141252355612,584617,,,2026,e1805533852be28621a15e483f24e3844c0a5ab84a56a5c5bbc54c26a91d5f82,Downloaded,,Government_Resolutions,,,,1.1
gr_202607141217248934..._20260714130837,केंद्र पुरस्कृत PM-YASASVI या मुख्य विषयांतर्गत मॅट्रिकोत्तर शिष्यवृत्तीच्या निधी वितरणाबाबत.,202607141217248934_कदर_परसकत_PM-YASASVI_य_मखय_वषयतरगत_मटरकत.pdf,dataset/Government_Resolutions/202607141217248934_कदर_परसकत_PM-YASASVI_य_मखय_वषयतरगत_मटरकत.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607141217248934....pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,इतर मागास बहुजन कल्याण विभाग,GR Portal,Government Resolution,Government_Resolutions,Government Resolution,Marathi,14-07-2026,14-07-2026,2026-07-14 13:08:37,202607141217248934...,225695,,,2026,7bf5424488f23cc6934e2af8f663ba5c238fe9248b51c311fb2017b76672c733,Downloaded,,Government_Resolutions,,,,1.1
gr_202607141222402834_20260714130839,"सन 2026-27 मध्ये PM-YASASVI योजनेंतर्गत ओबीसी, ईबीसी व डीएनटी विद्यार्थ्यांसाठी मॅट्रिकपूर्व शिष्यवृत्ती प्रदान करण्यासाठी निधी वितरण करणेबाबत..",202607141222402834_सन_2026-27_मधय_PM-YASASVI_यजनतरगत_ओबस_ईब.pdf,dataset/Government_Resolutions/202607141222402834_सन_2026-27_मधय_PM-YASASVI_यजनतरगत_ओबस_ईब.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607141222402834.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,इतर मागास बहुजन कल्याण विभाग,GR Portal,Government Resolution,Government_Resolutions,Government Resolution,Marathi,14-07-2026,14-07-2026,2026-07-14 13:08:39,202607141222402834,319620,,,2026,5e07c4942c3364a05e795c10dbfd2ecb0caceab589baaeffad6f612c1251fd7d,Downloaded,,Government_Resolutions,,,,1.1
gr_202607131609166102_20260714130841,केंद्र पुरस्कृत प्राथमिक कृषी पतपुरवठा सहकारी संस्थांचे संगणकीकरण  या योजनेंतर्गत सन 2026-27 या वर्षाकरीता SNA-SPARSH वर निधी वितरीत करणेबाबत..,202607131609166102_कदर_परसकत_परथमक_कष_पतपरवठ_सहकर_ससथच_सगणक.pdf,dataset/Government_Resolutions/202607131609166102_कदर_परसकत_परथमक_कष_पतपरवठ_सहकर_ससथच_सगणक.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607131609166102.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,"सहकार, पणन व वस्‍त्रोद्योग विभाग",GR Portal,Government Resolution,Government_Resolutions,Government Resolution,Marathi,13-07-2026,13-07-2026,2026-07-14 13:08:41,202607131609166102,431720,,,2026,40218e1935af3d977505c127261a77333495916c705c6954fbb70364a7dd06ae,Downloaded,,Government_Resolutions,,,,1.1
gr_202607131559415202_20260714130843,"सहकारी सूतगिरण्यांना वित्तीय संस्थांकडून मिळणा-या कर्जावरील 12 व्याजाचे प्रदान करणेबाबत- पार्वती सहकारी सूतगिरणी लि., कुरंदवाड तेरवाड, ता. शिरोळ, जि कोल्हापूर.-",202607131559415202_सहकर_सतगरणयन_वततय_ससथकडन_मळण-य_करजवरल_12.pdf,dataset/Finance/202607131559415202_सहकर_सतगरणयन_वततय_ससथकडन_मळण-य_करजवरल_12.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607131559415202.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,"सहकार, पणन व वस्‍त्रोद्योग विभाग",GR Portal,Government Resolution,Finance,Government Resolution,Marathi,13-07-2026,13-07-2026,2026-07-14 13:08:43,202607131559415202,332260,,,2026,15ef3c3537e0d75d9b00fd5e9dca2ce1a93dfc1f505020572da6b64c1900fa15,Downloaded,,Finance,,,,1.1
gr_202607131723109902_20260714130845,"सहकारी सूतगिरण्यांना वित्तीय संस्थांकडून मिळणा-या कर्जावरील 12 व्याजाचे प्रदान करणेबाबत- कोल्हापूर जिल्हा शेतकरी विणकरी सहकारी सूतगिरणी लि., इचलकरंजी, ता.शिरोळ, जि.कोल्हापूर.",202607131723109902_सहकर_सतगरणयन_वततय_ससथकडन_मळण-य_करजवरल_12.pdf,dataset/Finance/202607131723109902_सहकर_सतगरणयन_वततय_ससथकडन_मळण-य_करजवरल_12.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607131723109902.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,"सहकार, पणन व वस्‍त्रोद्योग विभाग",GR Portal,Government Resolution,Finance,Government Resolution,Marathi,13-07-2026,13-07-2026,2026-07-14 13:08:45,202607131723109902,323052,,,2026,5345fff9293ecbb85bbbeb74a60bce5fcb56e620a2d55ee7d2939e1fc5d00470,Downloaded,,Finance,,,,1.1
gr_202607131923117207_20260714130847,"राजशिष्टाचार विभागातील परकीय थेट गुंतवणूक, परदेशस्थ नागरीकांचे विषय आणि आंतरराष्ट्रीय संपर्क या तीन नवीन कार्यासनांकरिता 23 पदे (21 पदे नियमित 2 बाह्ययंत्रणेद्वारे) नव्याने निर्माण करणेबाबत.",202607131923117207_रजशषटचर_वभगतल_परकय_थट_गतवणक_परदशसथ_नगरकच.pdf,dataset/Rules/202607131923117207_रजशषटचर_वभगतल_परकय_थट_गतवणक_परदशसथ_नगरकच.pdf,https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/Marathi/202607131923117207.pdf,https://gr.maharashtra.gov.in,https://gr.maharashtra.gov.in/1145/Government-Resolutions,सामान्य प्रशासन विभाग,GR Portal,Government Resolution,Rules,Rule,Marathi,13-07-2026,13-07-2026,2026-07-14 13:08:47,202607131923117207,311595,,,2026,1ecdab2e2971cee2482427442a468fb051deae04bed81ec7f87b7c3fc04c55ca,Downloaded,,Rules,,,,1.1
